realtime,time,text,cn,Start Time (Decimal Minutes),Sentiment Score (-10 to 10),sentiment intensive,arousal_score,Chinese Char Count,Duration (Seconds),Words per Minute,viwer,
5.49,"[2:57.760,3:0.210,1]",So I want to see the upper body while I can. While I can.,所以我趁着现在，想要看上身效果的，趁现在。,2.96,0,0,1,18,2.45,440.8163265,1600,
5.53,"[3:0.280,3:8.930,1]","Oh, link number one, Li thought this way, directly is to give them another full 30 seconds, 30 seconds, link number one we directly shut down the price oh, you see now hurry to shoot it.",了哦，一号链接，李想这样子吧，直接就是给他们再开满30秒，30秒钟呢，一号链接我们直接关价了哦，你们现在看到赶紧去拍它。,3,0.986111111,0.986111111,1,49,8.65,339.8843931,1600,
5.68,"[3:9.030,3:18.655,1]","We are now, the storm jacket to tell you a wave, just not photographed, or late in the storm jacket, do not miss today, because this clothes, Chen Ma is waiting for the photo oh.",我们现在的话呢，把冲锋衣再给大家讲一波，刚刚没有拍到的，或者是晚进来的冲锋衣，今天不要错过，因为这个衣服的话呢，陈妈在那边等着拍照了哦。,3.15,-3,3,3,61,9.625,380.2597403,1604,
5.84,"[3:18.655,3:23.830,0]","Ok OK, come on, suggest the same quality pants, that material is very easy to wear.",好的好的，来来来，建议出同质量的裤子，那个材质很好穿。,3.31,3.908333333,3.908333333,5,23,5.175,266.6666667,1616,
5.93,"[3:23.830,3:25.380,1]","It's the back, isn't it?",是后后面的对吗？,3.4,0,0,1,7,1.55,270.9677419,1616,
5.95,"[3:25.380,3:26.905,1]","Yes, isn't this dress easy to wear?",对，是不是这个衣服很好穿？,3.42,4.333333333,4.333333333,4,11,1.525,432.7868852,1616,
5.98,"[3:26.905,3:29.005,1]",Be sure to buy the back of it.,一定要去买它后面吧。,3.45,2.5,2.5,4,9,2.1,257.1428571,1632,
6.01,"[3:29.005,3:47.080,0]","See Chen Ma has no idea, because Chen Ma wants to do too many models, is to my body this ah, three in one to get two really two pieces of hardshell jacket, down jacket, immediately can not talk, because now there is a little sister waiting for me to take the clothes away, they take pictures to do, you wait for me 5 minutes ah, um, she took pictures.",看陈妈有没有想法，因为陈妈想做的款太多了，是来我身上这个啊，三合一到手两件真两件的冲锋衣，羽绒服，马上就不能讲了，因为现在有小姐姐在旁边等着我把衣服拿走，她们拿走要拍照做一下，你等我5分钟啊，嗯，她拿走拍照。,3.48,1.113888889,1.113888889,1,92,18.075,305.3941909,1632,
6.31,"[3:47.080,3:53.130,0]","Baby, this is the last time the real person is talking. After he has finished, there is no more to talk.",宝宝，这是真实的人在旁边最后一次讲，他讲完以后，后面就没得讲了。,3.78,-0.166666667,0.166666667,1,28,6.05,277.6859504,1631,
6.42,"[3:53.130,3:54.580,1]","For adults, you can't see the sample in the back.",大人的话呢，后面是看不到样品的。,3.89,0,0,1,14,1.45,579.3103448,1627,
6.44,"[3:54.580,3:55.230,1]",Behind me.,我后面哦。,3.91,-4,4,5,4,0.65,369.2307692,1627,
6.45,"[3:55.330,3:57.030,0]","The adults took it. The adults took it, didn't they?",大人拿走了，是大人拿走是吧？,3.92,0,0,1,12,1.7,423.5294118,1627,
6.48,"[3:57.030,4:0.230,0]","Yes, Sir. The last time you can see my upper body, I'll.",就是大人，你最后一次能看我上身的样子，一会儿我。,3.95,0,0,1,21,3.2,393.75,1635,
6.53,"[4:0.300,4:2.050,0]",I can only show you the children's. Did you sleep well?,只能给你看小朋友的啦，睡的好不好？,4,0,0,1,15,1.75,514.2857143,1635,
6.57,"[4:2.100,4:3.250,0]",Let me tell you first.,来先跟你说。,4.04,2.5,2.5,3,5,1.15,260.8695652,1635,
6.59,"[4:3.650,4:13.275,0]","Outside Dupont three anti-waterproof anti-fouling anti-soy sauce, inside with polar fleece, anti-static single wear it to 10 degrees completely no problem.",外面杜邦三防防水防污防酱油，里面加了摇粒绒，抗静电的单穿它穿到10°完全没问题。,4.06,-0.511904762,0.511904762,3,34,9.625,211.9480519,1609,
6.75,"[4:13.275,4:16.350,0]","No problem. It sells for 399 on the outside, right?",没问题，在外面卖399，对吧？,4.22,1.428571429,1.428571429,2,9,3.075,175.6097561,1596,
6.81,"[4:16.550,4:25.650,0]","Inside the down jacket, because your hands are really two pieces, it can be worn separately, can, and then the down jacket to give you a look, this down jacket is made of peace velvet.",里面的羽绒服，因为你到手是真两件，它可以分开穿，可以，然后到手的羽绒服给你看一眼，这个羽绒服做的是安心绒。,4.28,-0.666666667,0.666666667,3,47,9.1,309.8901099,1596,
6.96,"[4:25.800,4:27.400,1]",Samsung uses size S.,三星公穿司的是S码。,4.43,0,0,1,8,1.6,300,1578,
6.99,"[4:27.500,4:33.000,0]","Samsung's Anxin velvet, velvet content 90%, fluffy 650, plus cleaning power 1000.",三星公司的安心绒，绒子含量90%，蓬松度650，加清洁力1000。,4.46,-2,2,3,19,5.5,207.2727273,1578,
7.08,"[4:33.150,4:45.025,0]","Cooperate with a variety of first-line brands and five-star hotels to cooperate with the Asian Games supplier, the supplier is very well-known, this velvet one yard velvet fat content is 90%.",跟各种一线品牌还有五星级酒店去合作的亚运会的呃合作供应商，合作供应商是非常知名的，这个绒一一物一码绒脂含量是90%的。,4.55,1,1,2,53,11.875,267.7894737,1552,
7.28,"[4:45.025,4:53.275,0]","For down jacket, like this, is not you go to a good library, not the same cashmere have to sell 399 want, our family sell 499 are not too cheap.",对羽绒服，像这种，是不是你去某优某库，不是同样的绒的都要卖399要的，我们家卖个499都不过分的便宜。,4.75,2.361111111,2.361111111,3,40,8.25,290.9090909,1541,
7.42,"[4:53.275,5:0.200,0]","Outer coat new velvet coat 399 Down 399499 added together, eight eight nine hundred looks.",外外套新绒外套399羽绒399499加在一起，八八九百的样子。,4.89,-0.095959596,0.095959596,1,20,6.925,173.2851986,1541,
7.54,"[5:0.320,5:3.095,1]","Yes, just 800 doras together.",对，就800多拉在一起。,5.01,0,0,1,7,2.775,151.3513514,1512,
7.58,"[5:3.095,5:10.120,0]",The zippers can be pulled together to make one. They can be made into one. The hands are really two and can be worn three times for three seasons.,拉链可以拉在一起变成一件的啊，它们俩可以变成一件，到手是真两件可以三穿穿三个季节。,5.05,2,2,2,38,7.025,324.5551601,1495,
7.7,"[5:10.370,5:34.495,0]","This down jacket, I sell four or five hundred today, is not cheap to fly cheap, it is very fashionable ah, but at this moment to give you two minutes of time, within two minutes, 349 and 369 adults to force two packages, 199 for the baby, each color baby to you over, you first think about the number of yards, all according to the height to buy, weight can buy a larger number of yards.",这个羽绒服，我今天卖个四五百，是不是都便宜到飞起便宜，它很时尚啊，但是此时此刻给你们两分钟的时间，两分钟以内，大人的349和369给力两包件，对宝宝的199起，每个颜色宝宝给你过一下，你先想好码数，码数全部按身高买，体重可以以买大一个码数。,5.17,1.849206349,1.849206349,2,99,24.125,246.2176166,1473,
8.1,"[5:34.495,5:36.445,1]","For children, you can buy a bigger size.",对小朋友可以去买大一个码数啊。,5.57,0,0,2,14,1.95,430.7692308,1463,
8.14,"[5:36.445,5:40.220,1]","Hold on for the hat, because he's about to have his jacket photographed.",对帽子稍等一下，因为他呢，这个冲锋衣马上就要拿去拍照了。,5.61,0,0,1,25,3.775,397.3509934,1454,
8.2,"[5:40.220,5:42.995,1]",What about the rest of us? You can't see the upper body effect.,我们后面的话呢，大人的上身效果是看不到的啊。,5.67,0,0,1,20,2.775,432.4324324,1454,
8.25,"[5:42.995,5:48.145,0]","And let me show you. This is purple medium. Well, purple medium is my size. It fits me just right.",然后给你看一下，这是紫色的中码，嗯，紫色中码是我的码数，我穿刚刚好。,5.72,2.857142857,2.857142857,3,29,5.15,337.8640777,1454,
8.33,"[5:48.145,5:48.870,1]",Because of that.,因为那个。,5.8,0,0,1,4,0.725,331.0344828,1459,
8.35,"[5:48.970,5:58.895,0]","The one that wears the fit is the one that covers the butt and the hip, and the flesh in the middle is completely invisible, just wearing a hardshell jacket. This is medium.",那个穿合身码是能遮屁屁能遮胯的，中间肉肉完全看不见，就是只穿了冲锋衣外套的一个样子，这是中码。,5.82,1.666666667,1.666666667,3,43,9.925,259.9496222,1459,
8.51,"[5:58.895,6:0.270,0]","Well, then the pink just went through.",嗯，然后粉色刚刚穿过。,5.98,-1,1,2,9,1.375,392.7272727,1480,
8.54,"[6:0.340,6:9.790,0]","After purple, then gray and black for you to set, OK, gray gray looks more advanced, black and gray inside the tangled baby you choose black.",过了紫色，然后灰色和黑色给你套一下，好的，灰色灰色看起来更高级，黑色跟灰色里面纠结的宝宝你就选黑色。,6.01,1.5,1.5,3,45,9.45,285.7142857,1487,
8.69,"[6:9.840,6:11.365,1]","Well, pregnant mothers can wear them, no problem.",嗯，孕妈妈可以穿，没有问题。,6.16,3.333333333,3.333333333,4,11,1.525,432.7868852,1487,
8.72,"[6:11.365,6:15.540,0]","Alas, but if black is too much, baby gray is a good option.",哎，但如果黑色太多了，宝宝灰色是很好看的一个选择。,6.19,0.833333333,0.833333333,2,22,4.175,316.1676647,1469,
8.79,"[6:15.540,6:16.940,1]",Grey looks expensive.,灰色看上去很贵。,6.26,-2.75,2.75,3,7,1.4,300,1469,
8.81,"[6:17.040,6:18.240,0]","Yes, a little more expensive.",对更贵一点点。,6.28,-0.625,0.625,2,6,1.2,300,1469,
8.84,"[6:18.490,6:20.340,0]",I'm the same size L I'm wearing right now.,我跟刚现在穿的L码。,6.31,1.428571429,1.428571429,1,8,1.85,259.4594595,1469,
8.87,"[6:20.340,6:21.890,1]","Yes, the gray one is size L.",对，灰色穿的是L码。,6.34,0,0,1,7,1.55,270.9677419,1469,
8.89,"[6:21.890,6:23.290,0]",Gray and black are size L.,灰色跟黑色都是L码。,6.36,-1.666666667,1.666666667,3,8,1.4,342.8571429,1469,
8.92,"[6:23.290,6:25.240,1]",We're out of plus-size jeans.,大码牛仔裤没货了。,6.39,0,0,1,8,1.95,246.1538462,1469,
8.95,"[6:25.390,6:28.440,0]","No, this is the only way you can shoot a pair of pants and grab one.",没有了，只有这样裤子你去拍，能抢到一件是一件。,6.42,0,0,1,20,3.05,393.442623,1506,
9.01,"[6:28.640,6:33.065,0]","Here it is, link number 4 Baby take a look.",在诶，在4号链接宝宝来看一下。,6.48,0,0,2,12,4.425,162.7118644,1510,
9.08,"[6:33.065,6:35.515,1]",Don't grab anything else now. You grab it first.,现在不要去抢其他东西，你先来抢先抢。,6.55,2.5,2.5,3,16,2.45,391.8367347,1510,
9.12,"[6:35.515,6:54.915,0]","I, uh, the baby on the hand 199, is you go outside to buy can not buy, can not buy peace of mind Dupont three hair trench coat, hand two wear 3 seasons no problem, a single outside trench coat 10° is a single wear inside down 8°, the two together to wear to minus 5°",我呃，手上的这个宝宝小朋友的199，是你去外面买都买不到的，买不到安心绒杜邦三毛的风衣，到手两件穿3个季节没问题，单穿外面的风衣10°是单穿里面的羽绒8°，两个合在一起穿到零下5°,6.59,-0.664021164,0.664021164,2,73,19.4,225.7731959,1518,
9.45,"[6:54.915,7:0.290,0]","Yes, and for fall, winter and next spring, prices start at 199 for adults.",是而且穿秋天、冬天和明年的春天，价格才199起，大人的才。,6.92,0,0,2,22,5.375,245.5813953,1503,
9.54,"[7:0.360,7:14.910,0]","349 and 369 points, two or two minutes to buy two pieces, to buy for yourself, to buy for the baby, to buy for the elderly at home can come to the 3211 link, the stomach capacity to see, almost not pick outside the weight, can wear, you can wear.",349和369分，两两分钟多买两件，给自己买，给宝宝买，给家里老人买都可以来3211号链接，肚子的容量来看一下，几乎不挑外重，都能穿，你都能穿。,7.01,0,0,1,53,14.55,218.556701,1516,
9.78,"[7:14.960,7:20.860,0]","And now I'm wearing Dad's big size, and look at our clothes, even if I'm big, it's not my size.",然后现在我穿的是爸爸的大码，然后看我们家衣服，就算我穿大了，不是我的合身码。,7.25,0,0,1,34,5.9,345.7627119,1513,
9.88,"[7:20.960,7:23.110,1]","It's all pretty, because the shape is pretty.",它都是好看的，因为版型好看。,7.35,2.5,2.5,3,12,2.15,334.8837209,1471,
9.92,"[7:23.160,7:27.835,0]","Yes, and then, because I have too many black clothes, I kept this one in gray and pink.",对，然后，因为我黑色衣服太多了，所以这件衣服我留的是灰色和粉色。,7.39,0.777777778,0.777777778,2,28,4.675,359.3582888,1472,
9.99,"[7:27.835,7:30.260,0]","Yes, I saved it for my family.",是的啊，我给家里人留了啊。,7.46,0,0,1,11,2.425,272.1649485,1472,
10.04,"[7:30.560,7:41.635,1]","Noble children buy light color also don't worry, because its fabric is made of more than three anti, and what's more, the above are all the fabric with the craft tag, is waterproof, anti-fouling and soy sauce, and wind resistance is also very good, the warmth is very good.",来宝子们买浅色也不用担心，因为它的面料是有做多邦三防的，而且的话呢，上面都是有工艺吊牌的面料，是防水防污防酱油的，而且防风性也特别好，保暖性很好哦。,7.51,5.457142857,5.457142857,7,67,11.075,362.979684,1471,
10.22,"[7:41.635,7:42.060,1]",Ready.,好了。,7.69,2,2,2,2,0.425,282.3529412,1507,
10.23,"[7:42.260,7:45.210,0]",Ok. Are Mom and Dad the same size?,这样拿走了好的，爸爸和妈妈的版型一样吗？,7.7,0,0,2,18,2.95,366.1016949,1493,
10.28,"[7:45.260,7:47.160,0]","The shape is the same, but the size is different.",版型是一样的，但是大小不一样。,7.75,0,0,1,13,1.9,410.5263158,1495,
10.32,"[7:47.160,7:59.760,0]","Yes then I show you the inside of the down, down jacket single wear, clothes to take away, the baby can not see for a while, to hurry to shoot adults for a while there is no way to try on ah, only take black with gray oh, I only take black with gray.",是然后我给你看一下里面的羽绒，羽绒服单穿的样子，衣服要拿走了，宝宝一会儿看不到啦，去赶紧去拍大人的一会儿是没有办法试穿的啊，只拿黑的跟灰的哦，我只拿黑的跟灰的。,7.79,-1.022675737,1.022675737,3,73,12.6,347.6190476,1486,
10.55,"[8:1.380,8:4.030,1]","Black and gray, not pink?",黑黑的跟灰的对粉色不要吗？,8.02,-0.583333333,0.583333333,2,12,2.65,271.6981132,1464,
10.6,"[8:4.280,8:12.430,0]","Yeah, I can still have gray in my pink and purple. Let me show you one last time. How does the down in the gray look like?",对啊，那我粉色紫色还能留来灰色，再给你们看最后一眼，这个灰色里面的羽绒穿的样子怎么样怎么样？,8.07,-0.851851852,0.851851852,1,42,8.15,309.202454,1462,
10.74,"[8:12.730,8:25.580,0]","Chain to hurry to go, hurry to go, uh, not stained with ash, wait a minute, so sixty forty catties to buy 120 yards, 1160132 catties, you go to buy medium code M code can be.",链来赶紧去，赶紧去呃，不沾灰，一会等一下，幺幺六四十斤买120码，1160132斤，你去买个中码M码就可以了。,8.21,0,0,1,37,12.85,172.7626459,1462,
10.96,"[8:25.630,8:28.130,1]","Yes, 2000 height, a gray gray off.",对，2000的身高，一灰色灰色脱下来。,8.43,0,0,1,12,2.5,288,1414,
11,"[8:28.130,8:30.255,0]",The gray is off. The gray is taking the picture. Take a look.,灰色脱下来了，灰色拿走拍照了，看一下。,8.47,0,0,1,16,2.125,451.7647059,1413,
11.03,"[8:30.255,8:31.805,1]",It's the feeling of two pieces stacked on top of each other.,这是两件叠在一起的感觉。,8.5,1.875,1.875,3,11,1.55,425.8064516,1413,
11.06,"[8:31.805,8:35.880,0]","Chen Ma is already waiting in that studio, waiting for this dress to be photographed.",陈妈陈妈已经在那个摄影棚等着呢，就等这个衣服拍照。,8.53,0,0,1,23,4.075,338.6503067,1428,
11.13,"[8:35.880,8:37.930,1]",The rent for a studio is too high.,摄影棚的一个租金太高了。,8.6,1.6,1.6,3,11,2.05,321.9512195,1428,
11.16,"[8:37.930,8:52.205,0]","It's expensive for the photographer, too. Oh, the model is expensive too. The model then takes a look outside and gives you another button here. It's very good.",对摄影师也很贵，哎，模特也贵啊，模特他然后来看一下外面，在这里再给你扣一个就非常好看好吧，看一下非常非常有腔调。,8.63,-0.225,0.225,2,50,14.275,210.1576182,1428,
11.4,"[8:52.205,8:56.355,0]","Then, the inside down jacket and the outside down jacket can be pulled into one piece.",然后，这个里面的羽绒和外面的羽绒服是可以拉成一件的。,8.87,-1.037037037,1.037037037,1,24,4.15,346.9879518,1423,
11.47,"[8:56.355,8:58.505,0]","Baby here, there's a little zipper.",宝宝这里，这里有小拉链。,8.94,-1.875,1.875,4,10,2.15,279.0697674,1427,
11.51,"[8:58.505,8:58.880,0]",MHM.,嗯。,8.98,0,0,2,1,0.375,160,1427,
11.52,"[8:59.330,9:0.330,1]",Abou is a powder.,阿布留的是粉。,8.99,0,0,2,6,1,360,1427,
11.54,"[9:0.400,9:1.250,1]",Pink and grey.,粉色跟灰色。,9.01,-0.75,0.75,2,5,0.85,352.9411765,1421,
11.55,"[9:1.250,9:5.450,0]","The pink and gray I left here is to pull together, make a whole thing, okay?",我留的粉色跟灰色来这里是给拉在一起的，变成整整一件好不好？,9.02,1.5,1.5,2,27,4.2,385.7142857,1421,
11.62,"[9:5.500,9:8.600,0]","In the black and gray room, or it'll show up. HMM.",来黑色跟灰色直播间的，要不出现了，嗯呃。,9.09,-1.666666667,1.666666667,4,17,3.1,329.0322581,1421,
11.68,"[9:8.750,9:19.250,1]","Is now see hurry to shoot it this price is not behind the ah, the height of 125 height 64 pounds, you want to wear is one to two years to buy 130, you want to wear a three years directly to buy a 140.",就是现在看到赶紧去拍它这个价格后面是没有的啊，身高125的身高64斤，你想要穿就是一到两年去买130，你想要穿个3年直接去买个140。,9.15,1.5,1.5,3,51,10.5,291.4285714,1421,
11.85,"[9:19.500,9:40.425,0]","For my normal size is to wear medium size, M size is this purple purple in the studio is uh, my fit size M size fancy size, um, I wear medium size is completely long enough tall enough dimension wide enough, yes, it is good to wear the upper body, each size that is different, but the length is not the same, you go straight to it.",对我的正常码数是穿中码，M码是就是这个紫色紫色在直播间里是呃我的合身码M码看中码，嗯，我穿中码完全够长够高大维度够宽，是是穿上身是好看的，每个码数那个大小不一样，但长度不一样啊，你直接去冲它就可以了。,9.32,1.083333333,1.083333333,3,90,20.925,258.0645161,1450,
12.2,"[9:40.425,9:44.600,0]","At 164, I'll buy size M. Baby, you're the same height as me. Just buy size M.",了身高164买M码，宝宝你跟我身高一样买M码就行。,9.67,0,0,1,18,4.175,258.6826347,1443,
12.27,"[9:44.600,9:46.875,0]",Pachet powder 160 buy 4 knots.,对粉160买4纠结到呢。,9.74,0,0,1,7,2.275,184.6153846,1444,
12.31,"[9:46.875,9:48.500,1]","Those who want white, buy purple.",想要显白的去买一下紫色。,9.78,0,0,1,11,1.625,406.1538462,1444,
12.34,"[9:48.500,9:53.225,1]","You want to be cute and love, usually, like to wear a small dress, you can go to buy a pink baby.",你想要就是可可爱爱的，平时的话呢，就爱穿小裙子的，你可以去买一下粉色宝贝啊。,9.81,0.8,0.8,3,34,4.725,431.7460317,1444,
12.42,"[9:53.225,9:58.475,1]","For pink is the same fabric, is there to do a DuPont three defense fabric craft tag is there.",对粉色也是一样的面料的话呢，是有做一个杜邦三防的面料工艺吊牌都是有的。,9.89,-0.5,0.5,1,33,5.25,377.1428571,1444,
12.5,"[9:58.475,10:0.350,1]",I'll test the water resistance for you in black because.,我用黑色给你们测一下防水，因为。,9.97,-1.666666667,1.666666667,4,14,1.875,448,1454,
12.54,"[10:0.420,10:4.870,1]","You can see the black in the studio, and the pink in the studio. You can't see it.",黑色在直播间看得清楚，粉色的呢在直播间测防水套话呢，你们看不见，,10.01,-1.333333333,1.333333333,3,29,4.45,391.011236,1431,
12.63,"[10:6.220,10:9.145,1]","Look at the material. It's waterproof, you know?",看一下它的面料是强防水的，知道呢？,10.1,0,0,1,15,2.925,307.6923077,1431,
12.68,"[10:9.145,10:21.120,1]","Usually rain, a little rain, it does not matter, it will not be wet fabric on the surface of the water, water beads to the fabric above is a bead, and then directly shake a shake, it will be clean, will not penetrate.",平时下雨了，下点小雨，它是没有关系的，里面是不会被打湿的面料在水面呃，水珠到了这个面料上面是呈水珠状的，然后直接抖一抖，它就干净了，不会渗进去。,10.15,-0.118055556,0.118055556,2,64,11.975,320.6680585,1431,
12.88,"[10:21.270,10:29.270,1]","Inside a down jacket is the same, down jackets have to do the process of anti-splashing, so it, usually under a little rain, it inside the velvet will not be wet.",里面的一个羽绒服也是一样的，羽绒服都有做防泼水的工艺，所以它呢，平时下点小雨，它里面的绒是不会被打湿。,10.35,-1.414351852,1.414351852,2,46,8,345,1391,
