time ,cn,text,viwer
"[0:50.750,0:52.800,0]",这个就是给你们先设置的好吧？,"This is what you set up first, okay?",1226
"[0:52.900,0:55.200,0]",都领好券，打个0就告诉我了。,"If you've got your ticket, put a zero in and let me know.",1222
"[0:55.200,1:0.200,0]",满屏零告诉我，我让后台直接谈讲解幺零七三十二斤买110啊幺。,"Full screen zero told me, I let the backstage talk directly to explain MAO 732 catties to buy 110 ah MAO.",1222
"[1:0.260,1:3.160,0]",13042斤，买个130就够穿了啊。,"A: 13,042 catties, buy a 130 is enough to wear.",1222
"[1:3.160,1:11.110,0]",然后这个最后一波了，直接给大家放100单吧，1200个人放100单格子给大家放1号，纯色放2号，裤子放3号。,"And then this last wave, just put 100 pieces for you, 1200 people put 100 pieces for you to put number 1, solid color number 2, pants number 3.",1207
"[1:11.110,1:16.260,0]",这100单呃，先到先得，全部是首批拍完直接恢复到正常售卖价格。,"These 100 orders are, uh, first come, first served, and all of them will be restored to their normal selling price after the first sale.",1202
"[1:16.310,1:20.410,0]",所以，真的喜欢，想要宝贝们先把名额占到手来准备一下。,"So, really like, want the babies to get the seats first to prepare.",1203
"[1:20.460,1:34.210,1]",加单倒计时543211号链接，一共就100单，1号链接格子，2号链接纯色，3号链接裤子，成套搭配，美丽加倍，名额有限，错过要拍大腿，错过要后悔一整天。,"Add a single countdown 543211 link, a total of 100 single, link 1 grid, link 2 solid color, link 3 pants, complete sets of matching, beautiful double, limited places, miss to pat thigh, miss to regret all day.",1207
"[1:34.260,1:41.910,1]",左上角的大佬右键肌有礼，所以说，姐妹们刷新去拍，刷新去抢先到先得是的。,"The big guy right muscle in the upper left corner is polite, so sisters refresh to shoot, refresh to be first come first served yes.",1204
"[1:42.010,1:45.785,0]",12045斤，买120呃，男宝女宝都能穿的。,"12045 pounds, buy 120, male and female can wear.",1199
"[1:45.785,1:48.760,0]",我们家做到的是中性风格的，中性的是的。,"We do it in a neutral style. Neutral, yes.",1213
"[1:48.810,1:53.960,0]",今天给到大家点关注，领券宝贝去下单，领到优惠券去下单。,"Today, give you some attention, get the coupon baby to place an order, get the coupon to place an order.",1236
"[1:53.960,2:0.260,0]",宝贝们这件格子的小棉服啊，格子棉服给你们今天到手价格7。,"Baby, this little plaid cotton-padded suit ah, plaid cotton-padded suit for you today to get the price of 7.",1236
"[2:0.300,2:7.000,0]",19块9起，你在我直播间先感受一下，因为这个是我们刚刚上新的，然后这个号也是新号来的。,"From 19.9 yuan, you can feel it in my studio first, because this is the new one we just got, and this one is the new one.",1254
"[2:7.000,2:11.750,0]",你们今天70来块钱买到手呃，给到大家体验的都是线下高货来的。,"You bought it for 70 yuan today, and gave you the experience of high quality goods from the line.",1258
"[2:11.750,2:20.700,0]",今天给到大家秋冬穿都能穿的一件棉服，可以当内搭，可以当外套，而且回去洗完之后，它是不会跑棉，轻轻的上身不压身。,"Today, I will give you a cotton-padded jacket that you can wear in autumn and winter. It can be used as an inner match or a coat. After going back to wash it, it will not run cotton, and the upper body will not press down gently.",1258
"[2:20.800,2:30.600,0]",今天你这价格买到这种品质的宝贝，我我跟大家说一下，我号是新号，所以今天我们需要积累一波新人粉丝的回头客啊。,"A: You got this quality at this price today. Let me tell you, my number is new, so today we need to accumulate a new wave of repeat fans.",1263
"[2:30.650,2:45.150,0]",第一次来的，咱们就先以体验为主，可以在我直播间先买个一件花小钱体验高货，收到货如果觉得值，你在线下买的一百八九两百来块钱吊牌的高货衣服，你再留下不值没关系，都能申请退，是不是？,"The first time to come, let's first to experience the main, you can buy a spend a small amount of money in my broadcast room to experience high goods, received goods if you feel the value, you buy in the line to 189200 yuan tag of high goods clothes, you leave it is not worth it, can apply for a refund, is it not?",1258
"[2:45.150,2:50.200,0]",但是如果你要在线下买这个衣服，它肯定少不了，少不了，肯定要过百的啊。,"But if you want to buy this dress offline, it must be indispensable, indispensable, must be over 100 ah.",1098
"[2:50.200,2:58.200,0]",我不说200来块钱，那你起码是150要花一花的最后23纯色在2号链接，你们喜欢哪个就直接买哪个就行了。,"I don't say 200 yuan, then you have to spend at least 150 to spend the last 23 solid colors on link 2, you can buy which one you like directly.",1097
"[2:58.200,3:0.250,0]",九十七三十斤买100码中码这。,973 catty buy 100 yards medium size here.,1028
"[3:0.320,3:10.520,0]",拍啊，宝贝，这个衣服穿在身上就是一眼就定上这个衣服，就要买这个衣服的话，给大家做到的是的，真的是又舒服干净很清新的男生女生都能去穿的。,"Take a picture, baby, this dress is worn on the body at a glance on this dress, if you want to buy this dress, you can do yes, it is really comfortable and clean and fresh boys and girls can wear.",984
"[3:10.520,3:25.520,0]",呃，外面给大家做到的是棉的，然后内里给大家做到的是一个双倍加厚的，我觉得这一件更加适合北方去穿，这一件更加厚，然后这个的话，它轻薄一点，这个适合南方最后10单啊，我觉得这个适合南方最后10单了是吗？,"Well, the outer one is cotton, and the inner one is double thick, I think this one is more suitable for the north, this one is thicker, and this one is lighter, this one is suitable for the last 10 orders in the South, I think this one is suitable for the last 10 orders in the South?",942
"[3:25.520,3:30.470,0]",对的，嗯，那就给大家10秒钟的时间，你帮我把价格恢复到129的价格吧。,"That's right. Well, I'll give you 10 seconds and you can help me get the price back to 129.",913
"[3:30.670,3:45.945,0]",以后再来我家直播间买棉服，129，我肯定是要卖这个价格的，不会说是我现在开的79，所以你们今天喜欢的宝贝呢，价格也便宜，而且，今天买的给大家全部放首批好吧，搭配的裤子给大家搭的是花灰色的。,"Later come to my home broadcast room to buy cotton-padded clothes, 129, I am sure to sell this price, will not say that I am now open 79, so you like the baby today, the price is cheap, and, today bought for everyone to put the first batch of well, matching pants for everyone is flower gray.",912
"[3:45.945,3:54.020,0]",花灰色的加绒不加绒都有看清楚规格，南北两地的宝贝一定要看清楚了啊，140的话，就买140就行了。,"Flower gray with or without cashmere have a clear specification, the north and south of the baby must see clearly ah, 140, buy 140 on the line.",905
"[3:54.070,4:0.270,0]",这个给大家做到也是加棉的，然后这个棉轻薄一点，这个我觉得更适合当内胆去穿的刚。,"This is made of cotton for everyone, and then this cotton is a little lighter, which I think is more suitable for wearing as an inner bladder.",909
"[4:0.340,4:8.390,0]",当做一件马甲里面的呀，或者羽绒服里面的呀，或者大衣里面的都能去搭好吧，呃，单穿它可以穿15°以上。,"It can be worn under a vest, or under a down jacket, or under a coat. Well, it can be worn over 15 degrees alone.",863
"[4:8.390,4:13.290,0]",如果你们要穿叠就是套穿穿到0°左右都是没有问题的啊。,"If you want to fold it, you should wear it until it reaches about 0°.",829
"[4:13.290,4:25.190,0]",那这个的话，59块9还能再保留，还有几单就最后两单了，那就10秒钟改价格好的改到109呃，不能叠在一起去穿的这两件，你们可以搭马甲、羽绒服，但是这两件不能叠在一块儿。,"Well, for this one, I can keep $59.9, and there are a few orders left but the last two orders, so change the price in 10 seconds to 109. Well, the two that can't be worn together, you can wear vests and down jackets, but these two can't be worn together.",830
"[4:25.240,4:34.540,0]",裤子有加绒不加绒，给大家做到的是一个呃卫衣棉，280g的卫衣棉穿在身上很舒服，不缩水不变形的，你们都可以去带一下啊。,"Pants with fleece do not add fleece, for everyone to do is a uh hoodie cotton, 280g hoodie cotton to wear on the body is very comfortable, do not shrink and deformation, you can go to take ah.",810
"[4:34.540,4:42.540,0]",裤子39块9的，给你们去做搭配的，买完裤子的话也要恢复到69啊，后台是的，都别忘了把价格恢复一下，可以买大一码吗？,"Pants 39 yuan 9, for you to do matching, after buying pants also want to restore to 69 ah, backstage yes, don't forget to restore the price, can you buy a bigger size?",779
"[4:42.540,4:42.990,0]",大很多。,A lot bigger.,768
"[4:42.990,4:46.490,0]",如果宝宝偏瘦，我不建议买大一码啊，都是扣子啊。,"If the baby is on the thin side, I don't recommend buying one size too big. It's all buttons.",774
"[4:46.590,4:50.890,0]",新粉今天左上角没点关注的，大家先把关注先点一下啊。,New fans don't have any attention on the top left corner today. Please click your attention first.,789
"[4:50.890,5:0.290,0]",宝贝们刚来的宝贝喜欢我们家风格类型的关注先点一下呃，这个衣服的话呢，待会儿全部给大家首批啊，待会儿那一波全部放首批没问题。,"Baby just arrived baby like our style type of attention first click, uh, if this dress, later all the first ah, later that wave all put the first no problem.",794
"[5:0.360,5:10.110,0]",吗衣服在几号链接格子外套配花灰色，还呃配花灰好看，我觉得配花灰好看就是有点不耐脏。,"What's the size of the link plaid coat with flower gray, also uh with flower gray looks good, I think it looks good with flower gray is a little dirty.",772
"[5:10.210,5:12.835,0]",嗯，来你们哪一件没有拍到？,"B: Well, which one did you miss?",796
"[5:12.835,5:16.285,0]",没有买到的告诉一下我们吧，我看一下你们哪一件没有拍到。,"If you didn't, let us know, and I'll see which one you didn't get.",796
"[5:16.285,5:25.760,0]",新粉宝贝要哪个，我今天就先上哪个要我们家的格子的话，公屏上留个一，呃，要我们家这个纯色的话，公屏上留个2。,"I'll get the first one today for the new pink baby if you want our grid, put a one on the public screen, uh, if you want our solid color, put a two on the public screen.",789
"[5:25.810,5:30.210,0]",你们哪一件没拍到我先讲先上哪一件，根据你们需求来好吧。,"Which one of you didn't get the picture, I'll tell you which one to show first, according to your needs.",787
"[5:30.410,5:36.235,0]",这两件都是棉服，都是给你们做到春秋冬都能穿的，还是我们家格子多一点儿？,"These are both cotton-padded coats. Are they for you to wear all spring and winter, or do we have more plaid at home?",787
"[5:36.235,5:37.960,0]",这个纯色，你们也想要是吗？,A: Do you also want this solid color?,797
"[5:38.160,5:40.260,0]",那我就两件，让后台都做链接吧。,"B: I'll take two, and let the backstage do both links.",797
"[5:40.510,5:43.560,0]",今天都做链接，都要都上了好不好？,"Do all the links today, please do all the links?",797
"[5:43.560,5:57.060,0]",然后这个衣服的话，呢，我先把面料给你们讲一下，今天最后再给大家拿出来50单，这50单给大家今天半价的活动再来一波，再上一波，再准备一下，呃，细节看清楚了再下单。,"Then for this dress, I'll tell you about the fabric first. At the end of the day, I'll bring out 50 orders for you. These 50 orders will give you another wave of today's half-price activity, another wave, and then prepare for it.",813
"[5:57.110,6:0.310,0]",价格今天虽然说再便宜，但是品质还是要首位的。,"Although the price is cheaper today, the quality should come first.",849
"[6:0.380,6:9.280,0]",不管是在我这儿买还是说在其他的地方买，那我也想问一下，我直播间800来位呃要下单的宝妈，你们是给男孩儿还是给女孩儿买的？,"Whether you buy from me or somewhere else, I also want to ask, of the 800 or so precious mothers in my studio, are you buying for boys or girls?",848
"[6:9.380,6:12.255,0]",给男孩儿买的留个男，给女孩儿买的留个女。,Keep a boy for a boy and a girl for a girl.,850
"[6:12.255,6:28.380,0]",因为我们家这个号是新号，每一天开播人数不稳定，我想看一下今天男孩儿多还是女孩儿多，后续跟我们家开发部的小姐姐沟通一下，按照你们靠近你们的需求去设计新款男孩儿男孩儿多这么多嘛，也有女孩儿，但男孩儿多一点。,"Because our home this number is a new number, every day the number is not stable, I want to see whether there are many boys or girls today, and then communicate with the little sister of the development department of our home, according to your needs close to your to design a new boy so many boys, there are girls, but more boys.",860
"[6:28.430,6:30.880,0]",呃，这个衣服其实男生女生都能去穿的。,"Well, this dress can actually be worn by both boys and girls.",854
"[6:30.880,6:48.230,0]",我们家这个衣服给大家设计的主题就是偏呃晴天的主题，就是那种呃晴天出去的话，有蓝天白云的上身就是一眼明亮的感觉，是的，然后给大家做到的面料，它外面是棉，里面全部是给大家做到的是加棉的，双倍加棉的。,"The theme of this dress in our home is the theme of sunny days, that is, if you go out on sunny days, the upper body with blue sky and white clouds is a bright feeling, yes, and then give you the fabric, it is cotton outside, and it is all for you to do is cotton, double cotton.",873
"[6:48.230,6:51.830,0]",所以秋冬春三个季节当外套当内搭都能穿。,"So it can be worn in the autumn, winter and spring as a coat.",868
"[6:52.030,7:0.330,0]",里面给大家做到的全部是有一层舒美层内衬的，穿在身上不闷汗，不捂汗，吸湿排汗很棒，不会觉得不透气的。,"Inside for everyone to do all is a layer of soothing layer lining, wear on the body does not stuffy sweat, do not cover sweat, moisture wicking sweat is very good, will not feel unbreathable.",868
"[7:0.400,7:7.300,0]",啊，整个衣服它是轻的，轻暖轻暖的感觉，不是那种压身厚的，它是轻暖轻暖的啊。,"Ah, the whole clothes it is light, light warm warm feeling, not the kind of pressure body thick, it is light warm.",848
"[7:7.300,7:18.750,0]",然后这个衣服的话，大家回去收到货手洗机洗不缩水不变形，洗完之后不会跑棉成坨的品质，我全部是按照线下专柜品质来做的，你们完全放心好吧。,"Then this clothes, we go back to receive the goods hand washing machine washing does not shrink does not deform, after washing will not run cotton into the quality, I am all in accordance with the quality of the offline counters to do, you completely rest assured.",841
"[7:18.850,7:35.500,0]",然后这个衣服的话，呢，它是给你们做韩版的颜色真的很好看啊，这个颜色就是你们会发现晴天是不是出去的话，黑皮黄皮的宝贝自然肤色就亮了对一样的，这个衣服给你们做饱和度低的黑皮黄皮都能驾驭得了，男生女生也都能穿的。,"And then this dress, it is for you to do the Korean version of the color is really good looking ah, this color is you will find sunny days is not out, black yellow skin baby natural skin color is bright on the same, this dress for you to do low saturation of black yellow skin can be driven, boys and girls can also wear.",867
"[7:35.550,7:42.150,0]",今天你们在线下逛街去买这个衣服，人家小众韩货店基本上一件可以卖给你200左右。,"Today, if you go shopping offline to buy this dress, a small Korean store can basically sell you about 200 a piece.",875
"[7:42.350,7:58.875,0]",今天在我直播间这种品质的宝贝，我给你129半价，我都不开了，不开呃，对我今天也想要充个1000人在线来的，所以说今天后台再帮我设置一下优惠券的，领到优惠券待会儿下单的宝妈两位数体验一下买棉服的快乐好不好啊？,"Today in my live broadcast of this quality of baby, I give you 129 half price, I do not open, do not open, uh, for me today also want to fill 1000 people online, so today the background to help me set a coupon, received a coupon after placing orders treasure mom double-digit experience to buy cotton clothes happy ah?",909
"[7:58.875,8:0.350,0]",那你们想要怎么上链接呀？,How do you want to access the link?,947
"[8:0.420,8:8.520,0]",怎么去拍我让后台准备一下链接，带大家上吧，要单件格子的话，留个1，要手上3件的话，留个3。,"How to shoot I let the background prepare a link, take everyone on it, if you want a single piece of lattice, leave a 1, if you want to hand 3 pieces, leave a 3.",945
"[8:8.520,8:11.870,0]",喜欢哪个我就给你们上哪个，要哪个我就给你们上哪个。,I'll give you whichever you like. I'll give you whichever you want.,968
"[8:12.670,8:18.170,0]",我们家是做搭配的直播间，但是我不爱捆绑消费，就是你们愿意买哪个，我就上哪个，好不好？,"Our house is a matching studio, but I don't like bundled consumption, that is, which you are willing to buy, I will go to which, OK?",994
"[8:18.220,8:26.870,0]",然后我们家这个衣服的话，给大家做到的也是加棉的啊，宝贝们，这个比较轻薄一点，我觉得这个适合南方，然后这个适合当内胆啊。,"Then our home this clothes, for everyone to do is also add cotton ah, baby, this is a little light, I think this is suitable for the south, and then this is suitable for when the inner bladder ah.",994
"[8:26.870,8:28.370,0]",这个的话比较厚一点。,This one is thicker.,1001
"[8:28.370,8:32.345,0]",这个的话，是双倍加厚的裤子，有加绒不加绒两个规格的。,"In this case, the trousers are double thick, with and without fleece.",1001
"[8:32.345,8:36.870,0]",今天这样吧，我们都上了单穿这俩棉服可以穿15°以上。,"How about today, we are all on the single wear of these two cotton suits can wear more than 15 degrees.",993
"[8:36.870,8:42.920,0]",如果你们想要穿0°左右就需要加外套了，加那个羽绒服了好吧，这三件都上好不好？,"If you want to wear around 0 degrees you need to add a coat, add that down jacket OK, all three good?",993
"[8:42.920,8:46.870,0]",这三件的话，你们都可以搭这个裤子，但是这两件不要叠穿在一块儿。,"You can wear all three with these pants, but don't fold these two together.",970
"[8:46.870,8:50.895,0]",嗯，今天我就一个小小请求，宝贝们左上角关注都点了吗？,"Well, just a little request today, babies, did you get all the attention in the top left corner?",970
"[8:50.895,8:52.770,0]",是的，这个号是新号。,"Yes, this number is a new one.",981
"[8:52.970,8:58.295,0]",新号，我前期需要10万的新人粉丝去做基础的就是什么是新人粉丝？,"New number, I need 100,000 new fans to do the foundation is what is new fans?",981
"[8:58.295,9:0.370,0]",你第一次来的，你想要以后在我。,"Your first time, you want later on in me.",978
"[9:0.440,9:7.365,0]",加回购的精准买衣服的粉丝不是来闲逛的粉丝啊呃，然后闲逛当然也可以点关注的，也可以支持我了。,"The fans who buy clothes accurately with buybacks are not fans who come to hang out, ah, and hang out, of course, can also point to attention and support me.",978
"[9:7.365,9:14.965,0]",但是今天呃关注是免费的，我可以给你们省钱来的是我自家粉丝的喜欢我们家衣服的后台。,"But today, uh attention is free, and what I can save you money is the backstage of my own fans who love our clothes.",978
"[9:14.965,9:17.040,0]",你刚刚棉服是准备的30的券吧？,Did you prepare the 30 coupon for the quilted coat?,988
"[9:17.040,9:26.015,0]",是的，30券先不要发了，直接给大家改成50的好的，今天领到券的宝贝下单我直接给大家幺零九九十九都不需要了。,"Yes, I don't want to give out 30 coupons. I'll just give you 50 ones. Ok, I'll just give you the ones you got today.",981
"[9:26.015,9:27.565,0]",你看一下，你申请到多少单？,Take a look. How many orders did you get?,971
"[9:27.565,9:30.540,1]",我这把申请到了80张，80张。,I've got 80 applications. 80.,1033
"[9:30.690,9:38.715,0]",那就直接放吧，左上角80的80张的50块钱优惠券领好，我带你们上车发券倒计时54321。,Just put them there. Take the 80 $50 coupons in the top left corner. I'll take you to the car and give out 54321.,1034
"[9:38.715,9:42.440,1]",左上角先点关注再领券，领券点优惠。,"In the top left corner, click Follow first, then get coupon, get coupon.",1036
"[9:42.440,9:50.240,1]",秋季新款立减50元，只有80张，所以大家一定要抓紧时间拼手速拼网速，先到先得哦。,"The fall new model will immediately reduce 50 yuan, only 80 tickets, so everyone must seize the time to fight hand speed and Internet speed, first come first served oh.",1036
"[9:50.290,9:51.440,0]",嗯，是的。,"B: Well, yes.",1057
"[9:51.590,9:58.715,0]",然后这个衣服的话，你们今天先把关注点好之后再选点关注，领到优惠券去下单的。,"And for this dress, you will focus on it first today and then select some attention and get the coupon to order.",1057
"[9:58.715,10:0.390,0]",今天这个衣服的话，我们给大家。,"Today's clothes, we give them to everyone.",1063
"[10:0.460,10:9.185,0]",他直接幺零九九十九的价格都不开了，这两件我们也给你便宜点一起上了这三件我都优惠好吧，你买哪哪一件都划算。,"He's just cut the price at $0.99, and we'll give you a better deal on these two. I'll give you a discount on all three.",1062
"[10:9.185,10:14.310,0]",但是呃，我先说好了，宝贝们，这个单量我给不了很多单，就80单。,"But, uh, just to be clear, babies, I can't give you many orders for this order, just 80 orders.",1091
"[10:14.460,10:15.685,0]",你们要什么尺码？,What size do you want?,1116
"[10:15.685,10:30.860,0]",公屏上留什么尺码，后台这边根据大家公屏上留的尺码做80单一对一的精准加单，哪个尺码要的多，哪个尺码就给大家多开多加多上，我手上拿的是100码啊，要90留90，要100留100。,"What size is left on the public screen, the backstage side according to the size left on the public screen to do 80 single one to one precise single, which size wants more, which size will give you more open more on, I have 100 yards ah, to 90 stay 90, to 100 stay 100.",1116
"[10:30.860,10:36.710,0]",我们家是90做到150的正码正拍，千万千万不要贪大了，小个子大人不能穿啊。,"Our family is 90 to 150 of the size of the shoot, never greedy big, small adults can not wear ah.",1110
"[10:36.710,10:50.510,0]",宝贝，我做的是儿童的，不要去穿小的，不要去穿那个儿童的衣服，因为它没有那个就是大人的那个就是人体工学的一个设计感，然后，这个衣服的话，如果你们实在不知道怎么去拍的，身高和体重报给我，我给你们做推荐。,"Baby, I do children's, do not go to wear small, do not go to wear the children's clothes, because it does not have that is the adult that is a design sense of ergonomics, then, this clothes, if you really do not know how to shoot, height and weight report to me, I will recommend to you.",1104
"[10:50.560,10:55.760,0]",最后一波，我带你们先感受一下，尽量都让你们买到回去首饰合身合适的好吧？,"For the last wave, I'll give you a taste of it and try to get you all the pieces that fit properly, okay?",1104
"[10:55.810,11:0.410,0]",呃，目前的话，我看大家要一百幺二的比较多一点，那我就让后台给大家。,"Well, for now, I think people want a little more than a hundred and twenty, so I'll have them backstage.",1129
"[11:0.480,11:6.130,0]",啊，100跟120的多开多加多上其他尺码你们要的不多的话，我就不加那么多单了。,"A: Well, a hundred and a hundred and a hundred and a hundred and a hundred and a hundred and a hundred and a hundred and a hundred and a hundred and a hundred and a hundred and a hundred and a hundred and a hundred and a hundred and a hundred and a hundred and a hundred and a hundred and a hundred and a hundred and a hundred and a hundred and a hundred and a hundred.",1129
"[11:6.130,11:9.355,0]",好吧，今天要买两件的宝妈，我就不限你单了。,"Well, if you want two pieces today, I won't limit it to you.",1102
"[11:9.355,11:12.480,0]",要买两件，今天可以分开领券下单。,"To buy two pieces, you can order them separately today.",1102
"[11:12.480,11:25.480,0]",第二件领到券了我还给你减50，但这个50需要你们自己领一下，是领到优惠券的宝贝公屏上打个零证明一下，我发券了你领了，咱们没什么问题就直接谈讲解上车了。,"The second piece received the coupon I will give you a reduction of 50, but this 50 needs you to take it yourself, is the baby who received the coupon hit a zero to prove it, I issued the coupon you took, we have no problem to talk directly on the car.",1102
"[11:25.480,11:30.980,0]",嗯，宝贝裤子有加绒不加绒的最大码是150，可以穿到80斤以内都是没有问题的。,"B: Well, the maximum size of the baby pants is 150 with or without fleece. You can wear them up to 80 pounds without any problem.",1115
"[11:30.980,11:32.105,0]",后台链接做好了吗？,Is the background link ready?,1123
"[11:32.105,11:35.105,0]",做好了之后赶紧开，那就80单来吧。,"As soon as you're done, let's get 80 orders.",1123
"[11:35.105,11:41.730,0]",80单给大家今天全部放在首批发货当中去呃，然后这80单今天买完我就恢复正常价格了。,All 80 orders will be placed in the first batch of shipment today. Then I will restore the normal price after the 80 orders are bought today.,1123
"[11:41.780,11:50.180,0]",所以，真心喜欢想要的宝贝，先把名额占到手，先到先得啊，呃，格子放1号，橙色放2号，裤子放3号。,"So, if you really like the baby you want, you get the spot first, first come, first served, uh, plaid number one, orange number two, pants number three.",1137
"[11:50.180,11:52.680,0]",准备最后一波加单倒计时。,Prepare the countdown to the last wave.,1137
"[11:52.680,12:0.430,1]",最后一波543211号链接一共只有80单，一号链接是得子，二号链接。,"The last wave of 543211 link has a total of 80, the number one link is the child, the number two link.",1201
"[12:0.500,12:9.100,1]",这是橙色三号链接，是裤子成套搭配，美丽加倍，名额有限，错过要拍大腿，错过要后悔一整天。,"This is the orange link number three, is a pair of pants, double the beauty, limited places, miss to pat the thigh, miss to regret all day.",1207
"[12:9.150,12:13.450,1]",而且，左上角的大额优惠券记得领一下，不然比别人贵。,"Also, remember to pick up the large coupon in the upper left corner, otherwise it will be more expensive than others.",1207
"[12:13.500,12:19.200,1]",所以说，姐妹们赶紧刷新去抢，刷新去拍，先到先得。,"So, sisters rush to refresh to grab, refresh to shoot, first come, first served.",1221
"[12:19.350,12:25.450,0]",是的，格子的话，今天放在1号链接，棉服放在2号，裤子放在3号。,"Yes, plaid, today on the number one link, quilts on the number two, pants on the number three.",1221
"[12:25.450,12:33.000,0]",是的，这3件我都给你们今天一起开了，喜欢哪一件买哪一件，但是就80单拍完不下单就80单。,"Yes, I'll open all three of them together today. I'll buy whichever one I like, but only 80 shots or 80 orders.",1226
"[12:33.100,12:42.250,0]",对呃，这个衣服棉服今天给大家129没开啊，不是129的价格领到券的宝贝今天下单79块9起是的链接呢。,"Yes, this dress quilts today for everyone 129 did not open ah, not 129 price to get the voucher baby today order 79 $9 from the link.",1227
"[12:42.500,12:43.700,1]",好，我弹讲讲。,"Ok, let me play it.",1231
"[12:44.350,13:0.450,0]",他们都在刷链接，好的，可能1200个宝贝去刷的时候呢，他有点卡顿，你把链接连续讲，这个时候他们就能刷得到，没问题啊，连续弹一下他们就能刷得到120身高卡码去加呃，如果想要穿的久一点，去加大一个码吧，好吧，1000。,"They're all swiping the link, okay, maybe 1200 babies to swipe it, he's a little stuck, you put the link in succession, this time they can swipe it, no problem, they can flick it in succession and they can swipe 120 height card to add uh, if you want to wear longer, go up a size, okay, 1000.",1248
"[13:0.520,13:8.770,0]",八的话，40斤买个12090身高就买90，这个比较偏厚实一点，给大家做到是双倍加厚的，秋冬春三个季节都能去穿的。,"Eight, 40 catties to buy 12090 height to buy 90, this is a bit thicker, give you to do is double thickening, autumn winter spring three seasons can go to wear.",1268
"[13:8.870,13:15.620,0]",今天给到大家到手价格79块9，买棉服，而且是很轻很暖和的男女都能去穿。,"Today I'll give you the price of $79. 9. Buy a cotton-padded jacket, which is light and warm enough for both men and women to wear.",1261
"[13:15.670,13:25.220,0]",我们家今天开这个价格，不是说我品质做的差了我给你们开这个价格，最后40单恰恰相反，我品质做得好，我不怕你们回去试啊。,"Our price today is not to say that my quality is bad, I will give you this price, the last 40 orders on the contrary, my quality is good, I am not afraid you go back to try.",1258
"[13:25.220,13:41.795,0]",我这80单，我让你们今天在我直播间第一次来消费的宝贝可以有一个消费体验，先以体验为主，你们回去先花小钱体验高货，回去收到货，如果觉得值，你在线下卖的三位数的一百八九两百来块钱的就留了。,"I have 80 orders, I let you today in my broadcast room for the first time to consume the baby can have a consumption experience, first to experience, you go back to spend a small amount of money to experience high goods, go back to receive goods, if you think it is worth, you sell in the line of three-digit 189200 yuan to stay.",1222
"[13:41.795,13:47.270,0]",然后如果觉得不值，没关系，直接申请退，但以后再来买这个价格没有这个价格是没有的。,"Then if you think it is not worth it, it doesn't matter, directly apply for a refund, but you can buy it again later without this price.",1168
"[13:47.270,13:49.520,0]",呃，格子没有做80的，都没有做80。,"Well, lattice didn't make 80. No one made 80.",1112
"[13:49.520,14:0.370,0]",我们家是90~15的，就码正拍今天买到全部是给大家发首批的，今天买到发首批，但以后再来买宝贝，我先说好了这个衣服以后。,"Our home is 90~15, just the code is shooting today to buy all are to send you the first batch, today to buy the first batch, but later to buy baby, I first said this clothes after.",1087
"[14:0.540,14:5.215,0]",129，少一分，带不走哦，拍完之后，也就恢复到129了。,"129, one point less, can't take away oh, after the shoot, it's back to 129.",1087
